player__participant__session__code,player__participant__session_id,player__participant__id_in_session,player__participant__code,channel,word,timestamp
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,den,1501188226.32801
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,nerd,1501188228.48523
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,dens,1501188229.85749
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,saute,1501188231.43128
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,state,1501188232.92659
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,trace,1501188233.69113
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,nerds,1501188234.45285
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,teen,1501188234.70456
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,abs,1501188237.41218
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,teens,1501188237.55017
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,seat,1501188237.69026
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,boe,1501188240.85733
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,bus,1501188242.43322
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,use,1501188244.16675
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,cent,1501188244.40442
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,boon,1501188244.78634
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,cedar,1501188244.96704
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,rend,1501188245.33203
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,but,1501188245.57252
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bon,1501188246.94601
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,cents,1501188247.76345
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,send,1501188248.74142
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,sea,1501188250.43569
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tat,1501188251.51226
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,neet,1501188253.51507
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,races,1501188253.75471
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,race,1501188254.82373
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,teat,1501188257.52846
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,test,1501188258.40982
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,dace,1501188258.93241
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,cat,1501188259.99953
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,daces,1501188260.61552
